Domain,Domain_Short,Domain_Color,Phenotype,Use.BW,Phenotype_Short,Figure_Label,Category,Category_Color,Remove,Viveks_Comments,Predictor_List
ABR,ABR,#ff9896,Minimum.dB.18kHz.Minimum.Threshold,YES,18db,ABR:18db,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
ABR,ABR,#ff9896,Minimum.dB.24kHz.Minimum.Threshold,YES,24db,ABR:24db,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
ABR,ABR,#ff9896,Minimum.dB.30kHz.Minimum.Threshold,YES,30db,ABR:30db,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
ABR,ABR,#ff9896,Minimum.dB.12kHz.Minimum.Threshold,YES,12db,ABR:12db,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
ABR,ABR,#ff9896,Minimum.dB.6kHz.Minimum.Threshold,YES,6db,ABR:6db,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
BodyComp,BC,#98df8a,PIXIMUS.BMC,NO,BMC,BC:BMC,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.BMC..Body.weight,NO,BMC-BW,BC:BMC-BW,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Subject.Length,NO,L,BC:L,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Subject.Weight,NO,W,BC:W,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.BMD,NO,BMD,BC:BMD,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Bone.Area..BMC.BMD.,NO,BoneArea,BC:BoneArea,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Fat..Body.weight,NO,FAT-BW,BC:FAT-BW,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Fat.mass,NO,FAT,BC:FAT,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Lean..Body.weight,NO,LEAN-BW,BC:LEAN-BW,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
BodyComp,BC,#98df8a,PIXIMUS.Lean.mass,NO,LEAN,BC:LEAN,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month
ClinicalBloodChemistry,CBC,#17becf,Results.Alanine.aminotransferase...ALT.,YES,ALT,CBC:ALT,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Albumin..ALB.,YES,ALB,CBC:ALB,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Calcium..Ca.,YES,CA,CBC:CA,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.HDL.Cholesterol..HDLD.,YES,HDLD,CBC:HDLD,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.HDLD.TCHOL.Ratio,YES,HDLD-TCHOL,CBC:HDLD-TCHOL,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Total.Cholesterol..T.CHOL.,YES,TCHOL,CBC:TCHOL,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Glucose..GLU.,YES,GLU,CBC:GLU,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.AST.ALT.Ratio,YES,ALT-AST,CBC:ALT-AST,Physiology,#5ab4ac,NO,the short name for this should be ALT-AST,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Bilirubin..TBIL.,YES,TBIL,CBC:TBIL,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Alkaline.Phosphatase,YES,AKLPHOS,CBC:AKLPHOS,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Aspartate.aminotransferase...AST.,YES,AST,CBC:AST,Physiology,#5ab4ac,NO,Hao - the short name for this should be AST,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Total.Protein..TPROT.,YES,TPROT,CBC:TPROT,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Triglycerides..TG.,YES,TG,CBC:TG,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Phosphorous..Phos.,YES,PHOS,CBC:PHOS,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ClinicalBloodChemistry,CBC,#17becf,Results.Urea..BUN.,YES,BUN,CBC:BUN,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Equipment.Model BW Storage.temperature.from.blood.collection.till.measurement Hemolysis.Status..enum.
ECT,ECT,#9edae5,ECT.mA.Threshold,YES,mA-Threshold,ECT:mA-Threshold,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.model BW
EKG,EKG,#1f77b4,EKG.HR,YES,HR,EKG:HR,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.HRV,YES,HRV,EKG:HRV,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.PR,YES,PR,EKG:PR,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.QRS,YES,QRS,EKG:QRS,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.QTC,YES,QTC,EKG:QTC,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.ST,YES,ST,EKG:ST,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.QTc.dispersion,YES,QTC-dispersion,EKG:QTC-dispersion,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.RR,YES,RR,EKG:RR,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
EKG,EKG,#1f77b4,EKG.mean.SR.amplitude,YES,SR-mean-amp,EKG:SR-mean-amp,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID. DayOfWeek Month BW
GRIP,GRIP,#f7b6d2,Results.Fore.and.hind.limb.grip.mean,YES,FLHL-mean,GRIP:FLHL-mean,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month equip.New BW Date.last.calibrated TestRoom
GRIP,GRIP,#f7b6d2,Results.fore.and.hind.limb.grip.mean.body.weight,NO,FLHL-mean-bw,GRIP:FLHL-mean-bw,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month equip.New BW Date.last.calibrated TestRoom
GTT,GTT,#c5b0d5,AUC,YES,AUC,GTT:AUC,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW Mouse.Restrained
GTT,GTT,#c5b0d5,GTT.Data.Fields.Plasma.glucose.level.at.Time.60.minutes,YES,PGL-60,GTT:PGL-60,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW Mouse.Restrained
GTT,GTT,#c5b0d5,GTT.Data.Fields.Plasma.glucose.level.at.Time.0,YES,PGL-0,GTT:PGL-0,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW Mouse.Restrained
GTT,GTT,#c5b0d5,GTT.Data.Fields.Plasma.glucose.level.at.Time.120.minutes,YES,PGL-120,GTT:PGL-120,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW Mouse.Restrained
GTT,GTT,#c5b0d5,GTT.Data.Fields.Plasma.glucose.level.at.Time.15.minutes,YES,PGL-15,GTT:PGL-15,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW Mouse.Restrained
HB,HB,#ffbb78,Percent.Corner,YES,Corner-percent,HB:Corner-percent,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month BW
HB,HB,#ffbb78,PercentMaxHole,YES,MaxHole-percent,HB:MaxHole-percent,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month BW
HB,HB,#ffbb78,Parameters.Total.Hole.Pokes,YES,TotalHolePokes,HB:TotalHolePokes,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month BW
HB,HB,#ffbb78,Percent.Center,YES,Center-percent,HB:Center-percent,Behavior,#d8b365,NO,/,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Platelet.Count..PLT.,YES,PLT,HEM:PLT,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Red.Blood.Cells..RBC.,YES,RBC,HEM:RBC,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Red.Cell.Distr..Width..RDW.,YES,RDW,HEM:RDW,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Mean.Platelet.Volume..MPV.,YES,MPV,HEM:MPV,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.White.Blood.Cells..WBC.,YES,WBC,HEM:WBC,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Hemoglobin.Concentration.Distr..Width..HDW.,YES,HDW,HEM:HDW,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Lymphocytes..LYM.,YES,LYM,HEM:LYM,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Mean.Cell.Volume..MCV.,YES,MCV,HEM:MCV,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Mean.corpuscular.hemoglobin..CHg.,YES,HGB-corpuscular,HEM:HGB-corpuscular,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
Hematology,HEM,#bcbd22,Hematology.Results.Measured.Hemoglobin..mHGB.,YES,HGB-measured,HEM:HGB-measured,Physiology,#5ab4ac,NO,/,StrainGeno Sex Date.of.test.New Room.origin DayOfWeek Month BW
