pheno.group,shortname,file.name,pheno.list,predictor.list
OFA,OFA,OFAOut.csv,Outputs.Whole.Arena.Resting.Time Outputs.Periphery.Permanence.Time Outputs.Distance.Traveled.Total Outputs.Center.Average.Speed Outputs.Distance.Traveled.First.Five.Minutes Outputs.Number.of.Rears.Total Outputs.Fecal.Boli Outputs.PctTime.Corners.Slope Outputs.PctTime.Center.Slope Outputs.Distance.Traveled.Slope,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Arena BW
HB,HB,HBOut.csv,Percent.Corner Percent.Center PercentMaxHole Corner Parameters.Total.Hole.Pokes Center,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID DayOfWeek Month BW
LD,LD,LDOut.csv,Collected.Values.Pct.Time.in.Dark Collected.Values.Right.Side.Time.Spent Collected.Values.Right.Side.Mobile.Time.Spent Collected.Values.Left.Side.Mobile.Time.Spent Collected.Values.Side.Changes Collected.Values.Fecal.Boli Collected.Values.Reaction.Time,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Arena BW
TST,TST,TSTOut.csv,Results.Time.immobile,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Arena BW
SLEEP,SLEEP,SLEEPOut.csv,Results.Sleep.Light.Phase.Percent Results.Sleep.Daily.Percent Results.Breath.Rate.During.Sleep.Mean Results.Breath.Rate.During.Sleep.Standard.Deviation Results.Light.Onset.Wake.Median Results.Diurnal.Wake.Ratio.Median Results.Sleep.Bout.Lengths.Mean Results.Light.Sleep.Bout.Lengths.Mean Results.Peak.Wake.wrt.Dark.Onset.Median Results.Light.Sleep.Bout.Lengths.Standard.Deviation,StrainGeno Sex Date.of.test.New Room.origin Time.categ DayOfWeek Month Software BW
RR,RR,RROut.csv,QC.Totals.Average.Duration QC.Totals.Learning.Slope,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.Manufacturer BW Chamber.ID Arena Acceleration
ECT,ECT,ECTOut.csv,ECT.mA.Threshold,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.model BW
PPI,PPI,PPIOut.csv,AVG.Corrected.Percent.PP1_avg AVG.Corrected.Percent.PP2_avg AVG.Corrected.Percent.PP3_avg AVG.Corrected.PPI.Global_avg AVG.Corrected.Slope.Max_avg Startle.Amplitude.Corrected.Percent.PP1_vmax Startle.Amplitude.Corrected.Percent.PP2_vmax Startle.Amplitude.Corrected.Percent.PP3_vmax Startle.Amplitude.Corrected.PPI.Global_vmax Startle.Amplitude.Corrected.Slope.Max_vmax AVG.Corrected_S_avg Startle.Amplitude.Corrected_S_vmax,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Chamber.Used BW Number.of.Trials Calibration.Meter
ABR,ABR,ABROut.csv,Minimum.dB.6kHz.Minimum.Threshold Minimum.dB.12kHz.Minimum.Threshold Minimum.dB.18kHz.Minimum.Threshold Minimum.dB.24kHz.Minimum.Threshold Minimum.dB.30kHz.Minimum.Threshold,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month Equipment.ID. BW
GRIP,GRIP,GRIPOut.csv,Results.Fore.and.hind.limb.grip.mean Results.fore.and.hind.limb.grip.mean.body.weight,StrainGeno Sex Date.of.test.New Room.origin Experimenter.ID Time.categ DayOfWeek Month equip.New BW Date.last.calibrated TestRoom
